org_name,org_description,technology,topics,official_link,gsoc_link
cBioPortal for Cancer Genomics,Aid discovery in complex cancer genomics data,"mysql, javascript, java, react, typescript","genomics, cancer, bioinformatics, big data, precision medicine",https://www.cbioportal.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/cbioportal-for-cancer-genomics
OSGeo (Open Source Geospatial Foundation),The Open Source Geospatial Foundation,"c, python, javascript, java, c++","open science, gis, citizen science, geolocation, mapping",https://www.osgeo.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/osgeo-open-source-geospatial-foundation
AOSSIE,Australian Umbrella Org for Open-Source Projects,"python, javascript, machine learning, scala, Blockchain","machine learning, electronic voting, natural language processing, social science",https://aossie.gitlab.io/,https://summerofcode.withgoogle.com/programs/2023/organizations/aossie
SCoRe Lab,SCoRe Lab develops FOSS softwares for everyone!!!,"python, java, go, nodejs, reactjs","security, web, machine learning, cloud",https://scorelab.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/score-lab
MoveIt,Moving robots into the future,"ros, c++","robotics, motion planning, trajectory generation, kinematics",https://moveit.ros.org,https://summerofcode.withgoogle.com/programs/2023/organizations/moveit
Eclipse Foundation,The Global Open Source Foundation,"java, che, deeplearning, eclipsejavaide, jakartaee","robotics, automotive, tools, cloud native java, iot & edge",https://www.eclipse.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/eclipse-foundation
Inkscape,Draw freely!,"python, c++, svg","web, graphics, design",https://inkscape.org,https://summerofcode.withgoogle.com/programs/2023/organizations/inkscape
GNOME Foundation,A diverse and sustainable free software desktop.,"c, linux, rust, gtk, Flatpak","operating systems, desktop, graphics, open source, apps",https://gnome.org,https://summerofcode.withgoogle.com/programs/2023/organizations/gnome-foundation
The Palisadoes Foundation,Transforming non-profit organizations in the cloud,"mongodb, flutter, graphql, typescript","web, api, database, cloud, mobile",https://www.palisadoes.org,https://summerofcode.withgoogle.com/programs/2023/organizations/the-palisadoes-foundation
GCP Scanner,Security scanning tool for Google Cloud,"python, google cloud","security, automation, scanning, google cloud",https://github.com/google/gcp_scanner/wiki/Google-Summer-of-Code-2023,https://summerofcode.withgoogle.com/programs/2023/organizations/gcp-scanner
Apache Software Foundation,Open source software to the public free of charge,"c, java, c++","big data, cloud, libraries, other",https://apache.org,https://summerofcode.withgoogle.com/programs/2023/organizations/apache-software-foundation
The ENIGMA Team,A free rapid game development environment.,"opengl, c++, qt5","graphics, game development, compiler, programming, game design",https://enigma-dev.org,https://summerofcode.withgoogle.com/programs/2023/organizations/the-enigma-team
TensorFlow,TensorFlow is a ML framework for everyone.,"machine learning, tensorflow, ai, Jax, keras","education, research, machine learning, on-device machine learning",https://www.tensorflow.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/tensorflow-d1
The JPF team,JPF is a special JVM for software verification,"android, java, distributed systems, jvm, smt solvers","model checking, symbolic execution, verification of concurrent systems, program analysis, test input generation",https://github.com/javapathfinder/jpf-core/wiki,https://summerofcode.withgoogle.com/programs/2023/organizations/the-jpf-team
mlpack,"a fast, flexible machine learning library","c++, C++ template metaprogramming","machine learning, embedded, ai, deep learning, Neural networks",https://www.mlpack.org,https://summerofcode.withgoogle.com/programs/2023/organizations/mlpack
GitLab,Everyone can contribute,"javascript, ruby on rails, go, ruby, vue","cloud, devops",https://gitlab.com,https://summerofcode.withgoogle.com/programs/2023/organizations/gitlab
R project for statistical computing,R software for statistical computing & graphics,"c, javascript, c++, r-project, fortran","visualization, machine learning, data science, graphics, statistics",https://www.r-project.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/r-project-for-statistical-computing
The Mifos Initiative,End Poverty One Line of Code at a Time,"android, java, kotlin, spring, angular","cloud, ai, fintech, financial inclusion, mobile banking",https://mifos.org,https://summerofcode.withgoogle.com/programs/2023/organizations/the-mifos-initiative
Dart,Dart is a client language for apps on any platform,"flutter, dart","programming languages, mobile apps",https://dart.dev,https://summerofcode.withgoogle.com/programs/2023/organizations/dart
Gentoo Foundation,"A flexible, source-based Linux distribution.","c, python, shell, linux, bash","operating systems, security, embedded, init, package",https://www.gentoo.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/gentoo-foundation
Fortran-lang,High-performance parallel programming language,"python, c++, fortran","compilers, programming languages, build systems, libraries, Fortran",https://fortran-lang.org,https://summerofcode.withgoogle.com/programs/2023/organizations/fortran-lang
The NetBSD Foundation,Of course it runs NetBSD,"c, shell script, make, unix, bsd","kernel, packaging, userland, unix, bsd",https://www.NetBSD.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/the-netbsd-foundation
Chromium,"Fast, seamless, safe, and reliable web for all","python, javascript, java, c++, git","web, browser, operating-system",https://chromium.org,https://summerofcode.withgoogle.com/programs/2023/organizations/chromium-lj
Learning Equality,Equity in education to transform lives,"python, javascript, django, vue.js","education, distributed databases, offline, learning",https://learningequality.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/learning-equality
52°North Spatial Information Research GmbH,Innovative ideas & technologies in geoinformatics,"javascript, android, java, web services, ogc standards","citizen science, spatial information infrastructures, open standards, data analytics, Geoinformation",https://52north.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/52north-spatial-information-research-gmbh
Synfig,Open-source 2D animation software,"python, c++, gtk, gtkmm","2d/3d graphics, animation, vector graphics",https://synfig.org,https://summerofcode.withgoogle.com/programs/2023/organizations/synfig
MDAnalysis,Analysis of molecular simulations data with Python,"python, cython, c/c++","science, computational-chemistry, high-performance-computing, molecular-simulation, soft-matter-physics",https://www.mdanalysis.org,https://summerofcode.withgoogle.com/programs/2023/organizations/mdanalysis
SymPy,SymPy is a Python library for symbolic mathematics,"python, numpy, jupyter","mathematics, physics, symbolic mathematics",https://www.sympy.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/sympy
